player_id,name,position,projected_points,adp
0031280,Derek Carr,QB,17.94375,218.0
0030061,Zach Ertz,TE,9.841176470588236,224.6
0033357,Taysom Hill,QB,9.3225,164.5
0029621,Greg Zuerlein,K,8.774193548387096,181.8
0039811,MarShawn Lloyd,RB,9.650793103448276,182.0
0037525,Jordan Mason,RB,4.316666666666666,187.5
0033090,Hunter Henry,TE,7.717241379310345,193.0
0039794,Braelon Allen,RB,5.728518518518519,198.5
0038997,Josh Downs,WR,9.41764705882353,200.5
0034161,Daniel Carlson,K,8.65625,200.8
0035269,Matt Gay,K,8.205882352941176,201.0
0031203,Cairo Santos,K,7.666666666666667,202.0
0039860,Ray Davis,RB,6.150641503572538,205.5
0039150,Bryce Young,QB,11.27375,216.5
0039384,Tyrone Tracy,RB,3.615162037037037,217.0
0036945,Justin Fields,QB,21.648571428571422,221.0
0038559,Michael Wilson,WR,8.807692307692308,226.3
0029263,Russell Wilson,QB,19.08866666666667,226.3
0033858,Jonnu Smith,TE,6.637037037037037,227.3
0036919,Kenneth Gainwell,RB,6.167027027027027,229.3
0036360,Clyde Edwards-Helaire,RB,6.082758620689655,231.5
0034829,Mike Gesicki,TE,5.245454545454545,236.5
0034869,Sam Darnold,QB,8.10625,249.0
0038129,Cade Otton,TE,7.690909090909091,196.0
0037741,Jahan Dotson,WR,9.013793103448275,201.0
0039391,Kimani Vidal,RB,2.98,207.3
0035689,Dawson Knox,TE,7.658620689655172,212.3
0038544,Quentin Johnston,WR,5.529411764705882,212.7
0037258,Dameon Pierce,RB,9.225925925925926,215.0
0039810,Jermaine Burton,WR,7.574530120481928,215.3
0039864,Ben Sinnott,TE,7.649926680972818,215.7
0039739,Roman Wilson,WR,7.272472289156624,215.7
0039404,Will Reichard,K,9.22876447876448,220.3
0039325,Carson Steele,RB,3.32198275862069,225.7
0039851,Drake Maye,QB,23.736316421707176,226.7
0034972,Alexander Mattison,RB,6.552941176470589,228.7
0038905,Blake Grupe,K,8.411764705882353,231.0
0036550,Rashod Bateman,WR,6.134782608695652,232.0
0039355,Luke McCaffrey,WR,6.33663380795911,233.7
0038976,Marvin Mims Jr.,WR,4.78,233.7
0038555,Tank Bigsby,RB,1.907692307692308,235.0
0034975,Justice Hill,RB,5.365625,236.7
0039409,Cam Little,K,6.225378787878788,236.7
0038117,Wan'Dale Robinson,WR,8.942857142857143,237.3
0039857,Troy Franklin,WR,6.211180722891567,239.0
0039021,Roschon Johnson,RB,6.806666666666667,244.3
0035710,Daniel Jones,QB,17.858333333333334,246.7
0035644,Noah Fant,TE,6.190625,248.0
0039356,Ja'Tavion Sanders,TE,4.690660330302184,249.0
0033009,Tyler Boyd,WR,9.328333333333331,250.7
0033948,Jamaal Williams,RB,9.756666666666666,253.7
0038454,Keaton Mitchell,RB,10.414285714285716,254.3
0039373,Audric Estime,RB,4.703819444444444,257.0
0036244,Colby Parkinson,TE,4.665517241379311,257.7
0039746,Will Shipley,RB,6.176370656370656,258.7
0037252,Greg Dulcich,TE,7.633333333333334,259.0
0036040,Juwan Johnson,TE,8.020689655172413,262.3
0037666,Jalen Tolbert,WR,4.0,263.7
0035500,Greg Dortch,WR,9.13,265.3
0032775,Demarcus Robinson,WR,8.25,266.7
0035535,Darius Slayton,WR,9.278125,270.0
0033526,Samaje Perine,RB,8.047222222222222,271.3
0039066,Michael Mayer,TE,5.95,271.7
0030098,Dustin Hopkins,K,9.15,159.5
0036913,Kadarius Toney,WR,5.268000000000001,282.7
0031136,Chris Boswell,K,7.533333333333333,186.5
0039856,Ricky Pearsall,WR,13.228986534372783,187.5
0039415,Brenden Rice,WR,1.7000000000000002,293.3
0039792,Devontez Walker,WR,5.907707831325301,294.3
0039870,Malachi Corley,WR,8.809036689745408,199.5
0039863,Michael Penix,QB,22.455567279875385,302.3
0038396,Eric Gray,RB,2.6,306.0
0039751,Jordan Whittington,WR,2.2615593803786576,307.7
0031610,Darren Waller,TE,9.9,213.5
0039407,Dylan Laube,RB,1.8930995475113124,310.0
0029822,Brandon McManus,K,7.852941176470588,311.3
0036984,Trey Sermon,RB,2.466666666666667,316.0
0031235,Odell Beckham Jr.,WR,7.36875,225.0
0026858,Graham Gano,K,7.222222222222222,227.0
0032569,Wil Lutz,K,7.0606060606060606,230.0
0039853,Javon Baker,WR,6.033434187879338,323.7
0036637,Noah Gray,TE,4.0475,239.5
0038551,Kendre Miller,RB,6.185714285714285,243.5
0033857,JuJu Smith-Schuster,WR,9.04,245.5
0039876,Malik Washington,WR,3.45233505450373,331.0
0038115,Daniel Bellinger,TE,5.253846153846154,331.7
0035289,Gardner Minshew,QB,12.582727272727272,253.0
0039062,Jonathan Mingo,WR,5.653333333333333,340.3
0034386,Justin Watson,WR,4.434210526315789,264.0
0038996,Tucker Kraft,TE,7.658333333333334,264.0
0034419,Braxton Berrios,WR,4.05448275862069,267.0
0039750,Joshua Karty,K,7.635416666666667,269.5
0035243,Miles Sanders,RB,9.483333333333334,270.5
0039228,Louis Rees-Zammit,RB,3.32198275862069,270.5
0039855,Jalen McMillan,WR,6.662908184461983,275.5
0037801,KaVontae Turpin,WR,3.6166666666666663,279.0
0036259,Jauan Jennings,WR,5.413333333333333,280.0
0038090,Skyy Moore,WR,3.8833333333333337,280.5
0038752,Jake Bobo,WR,4.064285714285715,281.0
0038938,Jalin Hyatt,WR,4.869230769230769,282.5
0034830,Hayden Hurst,TE,7.156000000000001,287.0
0038402,Anders Carlson,K,6.631578947368421,287.5
0035192,Joey Slye,K,6.151515151515151,288.0
0036626,Dyami Brown,WR,3.5380000000000003,290.5
0038102,Kenny Pickett,QB,11.5224,290.5
0034798,Durham Smythe,TE,4.4,292.0
0036096,J.J. Taylor,RB,2.7,293.0
0038563,Tre Tucker,WR,5.523076923076923,293.5
0038579,Aidan O'Connell,QB,13.62,295.0
0038622,Deuce Vaughn,RB,2.5,295.5
0038619,Andrei Iosivas,WR,5.622222222222223,298.5
0036980,Elijah Moore,WR,7.206451612903226,301.0
0033925,D'Onta Foreman,RB,9.488,302.0
0034521,Allen Lazard,WR,8.496428571428572,303.0
0038558,Darnell Washington,TE,1.4555555555555555,305.0
0033949,Joshua Dobbs,QB,16.9,307.0
0033110,Tyler Higbee,TE,8.140625,371.7
0038547,Luke Schoonmaker,TE,2.35,308.5
0038097,Cade York,K,6.705882352941177,309.5
