Rank,Player,Team,Bye,Pos,ESPN,Sleeper,NFL,RTSports,FFC,AVG,std_name,matched_name,match_score
792.0,Jalen Cropper,DAL,10.0,WR254,,,713.0,,,713.0,jalen cropper,,83
243.0,Washington Commanders,DST,12.0,DST22,213.0,,165.0,243.0,,207.0,washington commanders,,79
411.0,Jermaine Jackson,,,WR128,316.0,,,,,316.0,jermaine jackson,,79
555.0,Jamaal Williams,,,RB140,452.0,,517.0,,,484.5,jamaal williams,,77
595.0,Rodney Williams,,,TE88,476.0,,,,,476.0,rodney williams,,77
561.0,Owen Wright,,,RB143,455.0,,,,,455.0,owen wright,,75
